iter	RMSE
0	5.665603893
1	5.652218516
2	5.633387907
3	5.622744211
4	5.613787608
5	5.599568827
6	5.587147424
7	5.574537543
8	5.563033259
9	5.553815944
10	5.544698269
11	5.53743733
12	5.52598825
13	5.519563307
14	5.511604828
15	5.505851161
16	5.500678152
17	5.493710335
18	5.487855729
19	5.478180494
20	5.47275865
21	5.468220011
22	5.463787992
23	5.457508779
24	5.452931885
25	5.445541088
26	5.440586291
27	5.434787023
28	5.430848402
29	5.425241423
30	5.421583951
31	5.415850304
32	5.411082312
33	5.406796174
34	5.402180997
35	5.398494424
36	5.392780942
37	5.387856736
38	5.384747759
39	5.381443509
40	5.377627623
41	5.37368655
42	5.368436585
43	5.365063968
44	5.362419857
45	5.357067617
46	5.353479104
47	5.349762427
48	5.346244143
49	5.341677183
50	5.338797933
51	5.334098035
52	5.330359921
53	5.324906062
54	5.322024346
55	5.318838832
56	5.316430052
57	5.3132755
58	5.310637331
59	5.3070371
60	5.304274371
61	5.300610417
62	5.29831625
63	5.296326081
64	5.294152642
65	5.291039248
66	5.286293748
67	5.282794022
68	5.28029232
69	5.277771469
70	5.27529747
71	5.273520615
72	5.272758691
73	5.268111649
74	5.266100403
75	5.262857685
76	5.260768907
77	5.258340481
78	5.256204433
79	5.25373958
80	5.25074641
81	5.249006763
82	5.245936238
83	5.244815466
84	5.241377533
85	5.240263607
86	5.235910784
87	5.233883218
88	5.230959003
89	5.228219217
90	5.225170938
91	5.220939877
92	5.218176462
93	5.214429184
94	5.212939846
95	5.209844527
96	5.207992778
97	5.204856334
98	5.201744529
99	5.198235528
