iter	Passed	Remaining
0	196	19440
1	286	14015
2	410	13288
3	483	11614
4	544	10346
5	599	9395
6	681	9060
7	764	8788
8	831	8405
9	894	8048
10	955	7729
11	1015	7443
12	1131	7575
13	1209	7431
14	1313	7444
15	1367	7179
16	1438	7024
17	1498	6827
18	1562	6661
19	1605	6423
20	1651	6213
21	1705	6046
22	1790	5995
23	1860	5892
24	1947	5841
25	2035	5793
26	2111	5708
27	2180	5606
28	2224	5444
29	2261	5276
30	2312	5147
31	2406	5114
32	2467	5010
33	2520	4893
34	2561	4757
35	2631	4677
36	2722	4635
37	2795	4560
38	2872	4492
39	2943	4415
40	2996	4312
41	3030	4184
42	3090	4096
43	3146	4004
44	3180	3887
45	3229	3791
46	3271	3689
47	3316	3593
48	3364	3502
49	3422	3422
50	3468	3332
51	3520	3249
52	3570	3166
53	3642	3103
54	3690	3019
55	3735	2935
56	3777	2849
57	3822	2768
58	3861	2683
59	3896	2597
60	3959	2531
61	4033	2472
62	4158	2442
63	4231	2380
64	4279	2304
65	4340	2236
66	4383	2158
67	4446	2092
68	4529	2034
69	4582	1964
70	4634	1892
71	4664	1814
72	4727	1748
73	4768	1675
74	5135	1711
75	5228	1651
76	5273	1575
77	5323	1501
78	5390	1432
79	5587	1396
80	5657	1327
81	5773	1267
82	5850	1198
83	5936	1130
84	5983	1055
85	6042	983
86	6083	909
87	6129	835
88	6172	762
89	6239	693
90	6289	622
91	6350	552
92	6395	481
93	6432	410
94	6463	340
95	6507	271
96	6570	203
97	6632	135
98	6695	67
99	6767	0
