Price,Adj Close,Close,High,Low,Open,Volume
Ticker,7974.T,7974.T,7974.T,7974.T,7974.T,7974.T
Date,,,,,,
2010-01-04 00:00:00+00:00,1665.9569091796875,2253.0,2264.0,2211.0,2211.0,457000
2010-01-05 00:00:00+00:00,1688.8798828125,2284.0,2306.0,2280.0,2289.0,257000
2010-01-06 00:00:00+00:00,1811.6265869140625,2450.0,2458.0,2376.0,2399.0,479000
2010-01-07 00:00:00+00:00,1890.007080078125,2556.0,2580.0,2485.0,2485.0,474000
2010-01-08 00:00:00+00:00,1896.6619873046875,2565.0,2598.0,2531.0,2555.0,631000
2010-01-12 00:00:00+00:00,1926.97900390625,2606.0,2610.0,2558.0,2560.0,489000
2010-01-13 00:00:00+00:00,1915.1478271484375,2590.0,2601.0,2568.0,2585.0,357000
2010-01-14 00:00:00+00:00,1898.141357421875,2567.0,2590.0,2554.0,2586.0,478000
2010-01-15 00:00:00+00:00,1895.183349609375,2563.0,2589.0,2535.0,2589.0,639000
2010-01-18 00:00:00+00:00,1904.796142578125,2576.0,2597.0,2535.0,2535.0,237000
2010-01-19 00:00:00+00:00,1905.535400390625,2577.0,2584.0,2563.0,2584.0,255000
2010-01-20 00:00:00+00:00,1909.9720458984375,2583.0,2599.0,2577.0,2582.0,200000
2010-01-21 00:00:00+00:00,1910.711669921875,2584.0,2595.0,2573.0,2584.0,441000
2010-01-22 00:00:00+00:00,1887.0499267578125,2552.0,2565.0,2531.0,2565.0,469000
2010-01-25 00:00:00+00:00,1897.40185546875,2566.0,2579.0,2526.0,2531.0,159000
2010-01-26 00:00:00+00:00,1890.007080078125,2556.0,2577.0,2553.0,2558.0,374000
2010-01-27 00:00:00+00:00,1898.8807373046875,2568.0,2583.0,2540.0,2545.0,308000
2010-01-28 00:00:00+00:00,1946.20458984375,2632.0,2642.0,2589.0,2589.0,363000
2010-01-29 00:00:00+00:00,1870.7813720703125,2530.0,2602.0,2529.0,2602.0,254000
2010-02-01 00:00:00+00:00,1892.964599609375,2560.0,2562.0,2510.0,2525.0,331000
2010-02-02 00:00:00+00:00,1861.1689453125,2517.0,2564.0,2510.0,2564.0,273000
2010-02-03 00:00:00+00:00,1861.9080810546875,2518.0,2529.0,2516.0,2520.0,331000
2010-02-04 00:00:00+00:00,1878.176513671875,2540.0,2546.0,2518.0,2518.0,110000
2010-02-05 00:00:00+00:00,1799.7958984375,2434.0,2481.0,2431.0,2481.0,232000
2010-02-08 00:00:00+00:00,1802.753173828125,2438.0,2455.0,2402.0,2419.0,354000
2010-02-09 00:00:00+00:00,1784.26708984375,2413.0,2438.0,2408.0,2408.0,340000
2010-02-10 00:00:00+00:00,1795.3592529296875,2428.0,2447.0,2428.0,2441.0,189000
2010-02-12 00:00:00+00:00,1837.5072021484375,2485.0,2491.0,2448.0,2453.0,288000
2010-02-15 00:00:00+00:00,1836.02734375,2483.0,2525.0,2482.0,2514.0,210000
2010-02-16 00:00:00+00:00,1807.9290771484375,2445.0,2487.0,2444.0,2487.0,262000
2010-02-17 00:00:00+00:00,1828.6339111328125,2473.0,2488.0,2454.0,2465.0,258000
2010-02-18 00:00:00+00:00,1813.8448486328125,2453.0,2483.0,2450.0,2483.0,208000
2010-02-19 00:00:00+00:00,1788.7039794921875,2419.0,2456.0,2412.0,2456.0,335000
2010-02-22 00:00:00+00:00,1807.9290771484375,2445.0,2451.0,2427.0,2439.0,299000
2010-02-23 00:00:00+00:00,1808.6685791015625,2446.0,2461.0,2430.0,2442.0,424000
2010-02-24 00:00:00+00:00,1783.5284423828125,2412.0,2427.0,2410.0,2425.0,395000
2010-02-25 00:00:00+00:00,1790.1827392578125,2421.0,2442.0,2410.0,2442.0,283000
2010-02-26 00:00:00+00:00,1790.1827392578125,2421.0,2433.0,2399.0,2409.0,215000
2010-03-01 00:00:00+00:00,1832.3311767578125,2478.0,2492.0,2427.0,2427.0,211000
2010-03-02 00:00:00+00:00,1884.0919189453125,2548.0,2560.0,2506.0,2506.0,238000
2010-03-03 00:00:00+00:00,1946.9434814453125,2633.0,2642.0,2563.0,2573.0,261000
2010-03-04 00:00:00+00:00,1947.68359375,2634.0,2647.0,2604.0,2615.0,155000
2010-03-05 00:00:00+00:00,1947.68359375,2634.0,2685.0,2617.0,2642.0,231000
2010-03-08 00:00:00+00:00,1990.57080078125,2692.0,2696.0,2666.0,2666.0,368000
2010-03-09 00:00:00+00:00,2002.402099609375,2708.0,2805.0,2705.0,2706.0,336000
2010-03-10 00:00:00+00:00,2030.5013427734375,2746.0,2773.0,2690.0,2690.0,273000
2010-03-11 00:00:00+00:00,2055.641357421875,2780.0,2805.0,2732.0,2798.0,270000
2010-03-12 00:00:00+00:00,2046.029541015625,2767.0,2790.0,2752.0,2770.0,1085000
2010-03-15 00:00:00+00:00,2011.2755126953125,2720.0,2769.0,2704.0,2761.0,299000
2010-03-16 00:00:00+00:00,1989.8314208984375,2691.0,2725.0,2684.0,2696.0,211000
2010-03-17 00:00:00+00:00,2034.9373779296875,2752.0,2758.0,2691.0,2691.0,459000
2010-03-18 00:00:00+00:00,2023.1065673828125,2736.0,2794.0,2735.0,2758.0,273000
2010-03-19 00:00:00+00:00,2051.20458984375,2774.0,2776.0,2729.0,2738.0,356000
2010-03-23 00:00:00+00:00,2058.598876953125,2784.0,2790.0,2770.0,2788.0,359000
2010-03-24 00:00:00+00:00,2236.804443359375,3025.0,3090.0,2943.0,3020.0,930000
2010-03-25 00:00:00+00:00,2358.811767578125,3190.0,3190.0,3005.0,3020.0,1156000
2010-03-26 00:00:00+00:00,2380.995361328125,3220.0,3270.0,3170.0,3185.0,701000
2010-03-29 00:00:00+00:00,2362.876708984375,3130.0,3180.0,3105.0,3135.0,314000
2010-03-30 00:00:00+00:00,2393.07373046875,3170.0,3180.0,3070.0,3130.0,376000
2010-03-31 00:00:00+00:00,2377.975341796875,3150.0,3170.0,3135.0,3170.0,383000
2010-04-01 00:00:00+00:00,2427.044677734375,3215.0,3215.0,3120.0,3145.0,352000
2010-04-02 00:00:00+00:00,2423.2705078125,3210.0,3220.0,3175.0,3220.0,255000
2010-04-05 00:00:00+00:00,2487.43798828125,3295.0,3295.0,3240.0,3255.0,366000
2010-04-06 00:00:00+00:00,2442.14306640625,3235.0,3285.0,3195.0,3285.0,344000
2010-04-07 00:00:00+00:00,2381.75,3155.0,3220.0,3155.0,3215.0,393000
2010-04-08 00:00:00+00:00,2317.582275390625,3070.0,3115.0,3060.0,3095.0,349000
2010-04-09 00:00:00+00:00,2298.709716796875,3045.0,3115.0,3035.0,3050.0,511000
2010-04-12 00:00:00+00:00,2370.42626953125,3140.0,3170.0,3080.0,3100.0,284000
2010-04-13 00:00:00+00:00,2374.200927734375,3145.0,3145.0,3085.0,3140.0,240000
2010-04-14 00:00:00+00:00,2396.84814453125,3175.0,3195.0,3140.0,3155.0,413000
2010-04-15 00:00:00+00:00,2396.84814453125,3175.0,3210.0,3160.0,3200.0,142000
2010-04-16 00:00:00+00:00,2362.876708984375,3130.0,3170.0,3110.0,3170.0,185000
2010-04-19 00:00:00+00:00,2321.357177734375,3075.0,3095.0,3060.0,3065.0,204000
2010-04-20 00:00:00+00:00,2306.259033203125,3055.0,3100.0,3040.0,3090.0,133000
2010-04-21 00:00:00+00:00,2355.328125,3120.0,3125.0,3070.0,3100.0,295000
2010-04-22 00:00:00+00:00,2317.582275390625,3070.0,3085.0,3050.0,3080.0,161000
2010-04-23 00:00:00+00:00,2332.68017578125,3090.0,3095.0,3060.0,3065.0,105000
2010-04-26 00:00:00+00:00,2381.75,3155.0,3170.0,3135.0,3145.0,278000
2010-04-27 00:00:00+00:00,2385.52392578125,3160.0,3160.0,3115.0,3140.0,85000
2010-04-28 00:00:00+00:00,2347.779052734375,3110.0,3130.0,3095.0,3100.0,253000
2010-04-30 00:00:00+00:00,2374.200927734375,3145.0,3165.0,3135.0,3165.0,110000
2010-05-06 00:00:00+00:00,2313.8076171875,3065.0,3110.0,3065.0,3075.0,229000
